https://data.cdc.gov/NCHS/Weekly-Counts-of-Deaths-by-State-and-Select-Causes/muzy-jte6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Hampshire,2020,15,4/11/2020,270,242,,58,11,12,,12,,,,36,,17,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,16,4/18/2020,242,223,,39,10,17,,,,,11,40,11,16,15,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,17,4/25/2020,270,251,,54,,10,,18,,,,43,11,18,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,18,5/2/2020,260,243,,44,11,11,,11,,,,62,11,32,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,19,5/9/2020,289,269,,44,,,,19,,,,40,13,40,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,20,5/16/2020,285,270,,62,,,,11,,,13,38,,39,34,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2020,21,5/23/2020,267,256,,52,,12,,12,,,13,53,,34,34,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2020,22,5/30/2020,250,237,,35,11,,,11,,,11,51,13,39,30,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,23,6/6/2020,259,246,,64,14,,,,,,,46,12,33,29,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,24,6/13/2020,299,283,,68,,15,,11,,,16,59,13,31,27,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,25,6/20/2020,234,225,,60,,10,,,,,10,43,11,11,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,26,6/27/2020,190,185,,44,,,0,,,,10,44,11,17,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Jersey,2019,1,1/5/2019,1527,1426,38,323,33,53,34,93,29,35,23,378,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,2,1/12/2019,1491,1383,44,294,31,60,31,75,45,32,21,372,75,0,0,,,,,,,,,,,,,,,
New Jersey,2019,3,1/19/2019,1509,1424,43,322,30,47,36,74,33,31,23,389,86,0,0,,,,,,,,,,,,,,,
New Jersey,2019,4,1/26/2019,1545,1447,43,312,56,48,31,72,27,35,23,407,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,5,2/2/2019,1573,1467,32,321,48,65,39,70,38,38,28,391,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,6,2/9/2019,1635,1512,50,312,51,64,34,71,48,35,18,445,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,7,2/16/2019,1552,1436,41,317,39,62,36,68,42,35,28,382,73,0,0,,,,,,,,,,,,,,,
New Jersey,2019,8,2/23/2019,1508,1392,48,305,30,64,25,79,38,35,17,369,77,0,0,,,,,,,,,,,,,,,
New Jersey,2019,9,3/2/2019,1567,1445,37,313,37,51,31,54,44,35,33,411,75,0,0,,,,,,,,,,,,,,,
New Jersey,2019,10,3/9/2019,1527,1421,45,326,49,49,39,65,39,38,23,375,80,0,0,,,,,,,,,,,,,,,
New Jersey,2019,11,3/16/2019,1457,1367,44,292,38,58,26,55,45,36,19,354,81,0,0,,,,,,,,,,,,,,,
New Jersey,2019,12,3/23/2019,1512,1428,41,305,43,54,29,62,41,29,27,379,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,13,3/30/2019,1443,1359,41,292,32,67,28,66,32,34,28,375,54,0,0,,,,,,,,,,,,,,,
New Jersey,2019,14,4/6/2019,1422,1324,40,296,47,61,28,70,38,28,17,353,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,15,4/13/2019,1403,1310,47,291,35,52,21,62,37,36,27,349,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,16,4/20/2019,1392,1309,38,289,31,44,22,64,31,24,29,364,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,17,4/27/2019,1313,1209,35,268,46,47,24,58,43,34,17,340,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,18,5/4/2019,1383,1298,40,299,45,40,27,60,29,19,25,339,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,19,5/11/2019,1343,1240,35,292,31,40,22,54,30,36,30,336,58,0,0,,,,,,,,,,,,,,,
New Jersey,2019,20,5/18/2019,1358,1248,35,292,29,41,23,58,43,28,28,322,62,0,0,,,,,,,,,,,,,,,
New Jersey,2019,21,5/25/2019,1387,1266,31,280,37,43,29,50,40,21,20,342,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,22,6/1/2019,1411,1291,36,296,38,39,21,53,32,28,16,371,58,0,0,,,,,,,,,,,,,,,
New Jersey,2019,23,6/8/2019,1408,1304,40,303,37,61,24,58,29,22,26,356,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,24,6/15/2019,1338,1235,30,288,29,40,18,59,27,33,24,334,69,0,0,,,,,,,,,,,,,,,
New Jersey,2019,25,6/22/2019,1294,1179,35,283,37,44,18,49,26,22,17,327,53,0,0,,,,,,,,,,,,,,,
New Jersey,2019,26,6/29/2019,1350,1248,44,280,37,29,15,55,28,41,21,367,60,0,0,,,,,,,,,,,,,,,
New Jersey,2019,27,7/6/2019,1394,1262,47,278,45,51,19,62,30,28,27,342,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,28,7/13/2019,1395,1278,49,308,35,51,21,56,28,30,19,359,72,0,0,,,,,,,,,,,,,,,
New Jersey,2019,29,7/20/2019,1338,1220,29,298,32,34,20,57,29,35,29,321,67,0,0,,,,,,,,,,,,,,,
New Jersey,2019,30,7/27/2019,1358,1239,27,321,36,48,20,51,34,27,16,343,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,31,8/3/2019,1293,1194,37,273,34,48,21,56,36,26,17,342,56,0,0,,,,,,,,,,,,,,,
New Jersey,2019,32,8/10/2019,1334,1183,34,284,41,51,23,41,25,31,20,303,48,0,0,,,,,,,,,,,,,,,
New Jersey,2019,33,8/17/2019,1311,1205,34,285,33,47,17,48,23,22,24,362,57,0,0,,,,,,,,,,,,,,,
New Jersey,2019,34,8/24/2019,1386,1256,30,303,34,57,12,56,29,21,24,326,70,0,0,,,,,,,,,,,,,,,
New Jersey,2019,35,8/31/2019,1273,1151,32,304,32,46,15,29,30,23,21,283,69,0,0,,,,,,,,,,,,,,,
New Jersey,2019,36,9/7/2019,1329,1226,39,304,33,53,15,44,28,39,21,315,52,0,0,,,,,,,,,,,,,,,
New Jersey,2019,37,9/14/2019,1294,1197,38,289,24,33,19,54,25,29,24,333,65,0,0,,,,,,,,,,,,,,,
New Jersey,2019,38,9/21/2019,1352,1250,32,312,35,46,18,53,38,31,22,314,55,0,0,,,,,,,,,,,,,,,
New Jersey,2019,39,9/28/2019,1316,1214,32,292,22,41,18,52,38,27,18,300,66,0,0,,,,,,,,,,,,,,,
New Jersey,2019,40,10/5/2019,1356,1215,43,282,30,55,21,51,30,28,17,324,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,41,10/12/2019,1409,1281,37,288,38,47,23,46,39,36,19,342,64,0,0,,,,,,,,,,,,,,,
New Jersey,2019,42,10/19/2019,1406,1297,38,291,26,54,20,53,27,24,25,362,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,43,10/26/2019,1455,1337,36,313,48,47,30,54,34,34,24,365,68,0,0,,,,,,,,,,,,,,,
New Jersey,2019,44,11/2/2019,1324,1210,43,276,31,46,21,46,26,39,26,312,71,0,0,,,,,,,,,,,,,,,
New Jersey,2019,45,11/9/2019,1465,1341,24,297,38,50,36,47,29,33,23,343,72,0,0,,,,,,,,,,,,,,,
New Jersey,2019,46,11/16/2019,1473,1358,43,313,37,64,27,51,37,29,21,348,73,0,0,,,,,,,,,,,,,,,
New Jersey,2019,47,11/23/2019,1497,1378,36,291,34,56,17,58,22,35,26,393,78,0,0,,,,,,,,,,,,,,,
New Jersey,2019,48,11/30/2019,1430,1325,42,305,35,49,19,46,38,39,14,373,59,0,0,,,,,,,,,,,,,,,
New Jersey,2019,49,12/7/2019,1540,1429,44,286,45,63,21,76,24,36,22,388,63,0,0,,,,,,,,,,,,,,,
New Jersey,2019,50,12/14/2019,1586,1458,40,314,41,67,26,68,36,27,27,389,86,0,0,,,,,,,,,,,,,,,
New Jersey,2019,51,12/21/2019,1460,1342,26,295,33,50,19,77,27,41,12,371,82,0,0,,,,,,,,,,,,,,,
New Jersey,2019,52,12/28/2019,1572,1454,48,294,44,55,28,62,31,37,31,432,57,0,0,,,,,,,,,,,,,,,
New Jersey,2020,1,1/4/2020,1628,1479,41,321,30,42,25,65,53,35,26,419,68,0,0,,,,,,,,,,,,,,,
New Jersey,2020,2,1/11/2020,1587,1484,38,317,44,51,37,70,40,32,25,393,66,0,0,,,,,,,,,,,,,,,
New Jersey,2020,3,1/18/2020,1488,1394,44,309,35,38,36,73,49,36,24,361,76,0,0,,,,,,,,,,,,,,,
New Jersey,2020,4,1/25/2020,1577,1458,38,309,47,52,34,64,38,36,28,390,86,0,0,,,,,,,,,,,,,,,
New Jersey,2020,5,2/1/2020,1514,1421,47,302,43,54,29,59,40,30,32,347,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,6,2/8/2020,1491,1383,30,299,36,48,26,58,43,41,30,368,80,0,0,,,,,,,,,,,,,,,
New Jersey,2020,7,2/15/2020,1484,1383,50,320,39,46,28,70,38,36,27,356,73,0,0,,,,,,,,,,,,,,,
New Jersey,2020,8,2/22/2020,1489,1389,45,300,33,52,32,71,59,22,28,378,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,9,2/29/2020,1571,1470,47,311,43,56,36,62,48,29,36,374,84,0,0,,,,,,,,,,,,,,,
New Jersey,2020,10,3/7/2020,1505,1400,43,308,42,40,38,60,43,30,30,372,72,0,0,,,,,,,,,,,,,,,
New Jersey,2020,11,3/14/2020,1474,1375,38,280,40,45,34,53,39,27,52,384,75,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,12,3/21/2020,1594,1525,40,306,43,48,43,65,43,57,40,377,85,36,34,,,,,,,,,,,,,,,
New Jersey,2020,13,3/28/2020,2116,2012,64,289,48,67,84,72,69,34,51,464,68,286,271,,,,,,,,,,,,,,,
New Jersey,2020,14,4/4/2020,3462,3362,64,326,102,100,111,108,73,43,79,548,107,1222,1166,,,,,,,,,,,,,,,
New Jersey,2020,15,4/11/2020,4712,4621,66,324,94,124,124,116,92,46,90,627,102,2312,2227,,,,,,,,,,,,,,,
New Jersey,2020,16,4/18/2020,4650,4565,49,344,105,128,86,95,65,47,82,582,91,2415,2301,,,,,,,,,,,,,,,
New Jersey,2020,17,4/25/2020,3790,3707,52,268,84,102,75,100,66,42,61,519,76,1867,1741,,,,,,,,,,,,,,,
New Jersey,2020,18,5/2/2020,2934,2852,52,298,64,81,59,66,50,29,76,407,71,1311,1198,,,,,,,,,,,,,,,
New Jersey,2020,19,5/9/2020,2569,2489,38,285,58,67,38,50,45,32,97,381,52,1101,986,,,,,,,,,,,,,,,
New Jersey,2020,20,5/16/2020,2253,2200,41,266,47,61,33,56,38,33,83,385,91,812,726,,,,,,,,,,,,,,,
New Jersey,2020,21,5/23/2020,1909,1830,30,288,42,48,27,48,30,26,77,363,73,542,469,,,,,,,,,,,,,,,
New Jersey,2020,22,5/30/2020,1713,1622,37,261,41,49,31,49,35,21,77,297,66,387,334,,,,,,,,,,,,,,,
New Jersey,2020,23,6/6/2020,1546,1484,23,246,39,48,21,43,30,28,92,332,42,304,245,,,,,,,,,,,,,,,
New Jersey,2020,24,6/13/2020,1423,1361,24,269,34,34,17,46,29,30,72,307,53,211,171,,,,,,,,,,,,,,,
New Jersey,2020,25,6/20/2020,1239,1188,34,261,28,34,21,38,27,25,64,278,50,140,109,,,,,,,,,,,,,,,
New Jersey,2020,26,6/27/2020,446,433,,87,15,14,,19,10,,14,110,16,47,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
New Mexico,2019,1,1/5/2019,409,365,,69,17,,10,27,,,,97,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,2,1/12/2019,447,399,10,78,12,13,,40,,,,85,22,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,3,1/19/2019,408,364,,76,16,15,14,28,,11,,84,12,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,4,1/26/2019,358,320,,69,12,,,25,,,,75,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,5,2/2/2019,392,352,,88,18,11,,23,,,,89,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,6,2/9/2019,369,322,,66,12,12,12,29,,,,82,15,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,7,2/16/2019,374,336,,64,10,16,11,30,,,,89,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,8,2/23/2019,378,332,,67,17,16,10,24,,,0,77,17,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,9,3/2/2019,392,346,,69,13,,10,25,,,,88,22,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,10,3/9/2019,350,316,,69,11,11,,20,,,,96,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,11,3/16/2019,404,362,,79,12,11,,32,10,,12,69,18,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
New Mexico,2019,12,3/23/2019,401,353,,66,18,13,12,27,,,10,84,16,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,13,3/30/2019,374,327,,70,,,,20,,,,93,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,14,4/6/2019,337,285,,53,13,,,23,,,,71,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,15,4/13/2019,375,322,,67,13,10,,28,,,,77,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,16,4/20/2019,347,308,,57,15,14,,13,,,,87,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,17,4/27/2019,376,318,,69,14,10,,26,,10,,72,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,18,5/4/2019,359,317,,60,16,12,10,26,,,,74,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,19,5/11/2019,343,294,,64,21,,,15,,,,75,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,20,5/18/2019,341,299,,65,,13,,21,,,0,86,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Mexico,2019,21,5/25/2019,346,304,,74,,11,,21,,,,74,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,22,6/1/2019,348,297,,55,15,,,17,,,,91,12,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,23,6/8/2019,358,299,,61,10,10,,28,,,,75,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,24,6/15/2019,357,309,,79,10,15,,15,,,,73,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,25,6/22/2019,335,281,,74,,10,,16,,,,70,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,26,6/29/2019,340,295,,60,11,,,13,,,,81,22,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,27,7/6/2019,364,314,,52,14,,,20,,,,94,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,28,7/13/2019,377,310,,69,16,14,,12,,,0,76,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,29,7/20/2019,344,286,,65,12,12,,17,,,,75,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,30,7/27/2019,311,259,,50,10,10,,12,,,,81,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,31,8/3/2019,340,302,,60,13,,,13,,,,79,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,32,8/10/2019,321,271,,58,13,15,,12,,,,64,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,33,8/17/2019,335,294,,61,12,,,17,,,,83,11,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,34,8/24/2019,342,283,,64,17,,,18,,,,66,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,35,8/31/2019,349,308,,76,12,11,,13,,,,83,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,36,9/7/2019,390,326,,76,13,14,,12,,,,93,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,37,9/14/2019,331,276,,67,13,10,,25,,,,51,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,38,9/21/2019,367,308,,60,15,,,21,,,,83,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,39,9/28/2019,344,296,,76,15,,,20,,,,66,10,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,40,10/5/2019,376,326,,73,12,,,20,,,,86,13,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,41,10/12/2019,358,314,,62,13,,,18,,,,84,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,42,10/19/2019,328,279,,58,,,10,23,,,0,66,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,43,10/26/2019,344,310,,59,14,14,,22,,,,69,17,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,44,11/2/2019,356,310,,76,,12,,14,,,,78,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,45,11/9/2019,354,306,,68,,13,,12,,,,76,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,46,11/16/2019,340,300,,60,12,13,,16,,12,0,72,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
New Mexico,2019,47,11/23/2019,352,310,,70,16,,,23,,,,70,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,48,11/30/2019,408,349,,64,11,,,16,,13,,101,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,49,12/7/2019,363,320,,74,,14,,24,,,,76,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,50,12/14/2019,376,319,,78,13,10,,22,,,,80,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,51,12/21/2019,366,316,,78,,,,28,,10,,73,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,52,12/28/2019,378,328,,63,,14,,22,,12,,82,20,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,1,1/4/2020,401,352,,63,14,14,16,17,,,,98,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,2,1/11/2020,406,362,,66,16,10,14,44,,,,85,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,3,1/18/2020,384,335,,60,14,12,11,27,,,,87,,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2020,4,1/25/2020,395,361,,75,,11,16,23,,,,87,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
